seed,condition,task_a_pre,task_a_post,forgetting,task_b_post
0,none,0.9944751262664795,0.0,0.9944751262664795,0.9944444298744202
0,random,0.9944751262664795,0.7569060921669006,0.23756903409957886,0.9944444298744202
0,stratified_random,0.9944751262664795,0.8618784546852112,0.1325966715812683,0.9944444298744202
0,doubt,0.9944751262664795,0.889502763748169,0.10497236251831055,0.9888888597488403
0,curiosity,0.9944751262664795,0.90055251121521,0.09392261505126953,0.9888888597488403
0,egogate,0.9944751262664795,0.8508287072181702,0.14364641904830933,0.9944444298744202
0,embedding_kcenter,0.9944751262664795,0.8563535809516907,0.13812154531478882,0.9944444298744202
0,egogate_diverse,0.9944751262664795,0.8508287072181702,0.14364641904830933,0.9944444298744202
0,full,0.9944751262664795,0.9447513818740845,0.04972374439239502,0.9611111283302307
1,none,0.9944751262664795,0.0,0.9944751262664795,1.0
1,random,0.9944751262664795,0.7734806537628174,0.2209944725036621,0.9944444298744202
1,stratified_random,0.9944751262664795,0.7845304012298584,0.2099447250366211,0.9944444298744202
1,doubt,0.9944751262664795,0.8011049628257751,0.19337016344070435,0.9944444298744202
1,curiosity,0.9944751262664795,0.7955800890922546,0.19889503717422485,0.9944444298744202
1,egogate,0.9944751262664795,0.8066298365592957,0.18784528970718384,0.9888888597488403
1,embedding_kcenter,0.9944751262664795,0.8121547102928162,0.18232041597366333,0.9888888597488403
1,egogate_diverse,0.9944751262664795,0.8563535809516907,0.13812154531478882,0.9944444298744202
1,full,0.9944751262664795,0.9171270728111267,0.07734805345535278,0.9944444298744202
2,none,0.9944751262664795,0.0,0.9944751262664795,1.0
2,random,0.9944751262664795,0.8563535809516907,0.13812154531478882,0.9888888597488403
2,stratified_random,0.9944751262664795,0.8176795840263367,0.17679554224014282,0.9888888597488403
2,doubt,0.9944751262664795,0.8950276374816895,0.09944748878479004,0.9944444298744202
2,curiosity,0.9944751262664795,0.8618784546852112,0.1325966715812683,0.9944444298744202
2,egogate,0.9944751262664795,0.8784530162811279,0.11602210998535156,0.9944444298744202
2,embedding_kcenter,0.9944751262664795,0.8674033284187317,0.1270717978477478,0.9888888597488403
2,egogate_diverse,0.9944751262664795,0.8950276374816895,0.09944748878479004,0.9944444298744202
2,full,0.9944751262664795,0.9447513818740845,0.04972374439239502,0.9833333492279053
3,none,0.9944751262664795,0.0,0.9944751262664795,1.0
3,random,0.9944751262664795,0.8397790193557739,0.15469610691070557,0.9888888597488403
3,stratified_random,0.9944751262664795,0.8232043981552124,0.1712707281112671,1.0
3,doubt,0.9944751262664795,0.8232043981552124,0.1712707281112671,0.9944444298744202
3,curiosity,0.9944751262664795,0.8618784546852112,0.1325966715812683,0.9944444298744202
3,egogate,0.9944751262664795,0.8508287072181702,0.14364641904830933,0.9944444298744202
3,embedding_kcenter,0.9944751262664795,0.90055251121521,0.09392261505126953,0.9888888597488403
3,egogate_diverse,0.9944751262664795,0.9060773253440857,0.0883978009223938,0.9944444298744202
3,full,0.9944751262664795,0.9337016344070435,0.060773491859436035,0.9833333492279053
4,none,0.9944751262664795,0.0,0.9944751262664795,1.0
4,random,0.9944751262664795,0.7403314709663391,0.2541436553001404,0.9611111283302307
4,stratified_random,0.9944751262664795,0.8618784546852112,0.1325966715812683,0.949999988079071
4,doubt,0.9944751262664795,0.9116021990776062,0.08287292718887329,0.9444444179534912
4,curiosity,0.9944751262664795,0.9281768202781677,0.06629830598831177,0.9666666388511658
4,egogate,0.9944751262664795,0.939226508140564,0.05524861812591553,0.949999988079071
4,embedding_kcenter,0.9944751262664795,0.9281768202781677,0.06629830598831177,0.9388889074325562
4,egogate_diverse,0.9944751262664795,0.8839778900146484,0.11049723625183105,0.9055555462837219
4,full,0.9944751262664795,0.9447513818740845,0.04972374439239502,0.8611111044883728
5,none,0.9944751262664795,0.0,0.9944751262664795,1.0
5,random,0.9944751262664795,0.7624309659004211,0.23204416036605835,0.9888888597488403
5,stratified_random,0.9944751262664795,0.7458563446998596,0.24861878156661987,0.9944444298744202
5,doubt,0.9944751262664795,0.8508287072181702,0.14364641904830933,0.9888888597488403
5,curiosity,0.9944751262664795,0.7900552749633789,0.20441985130310059,0.9944444298744202
5,egogate,0.9944751262664795,0.7790055274963379,0.2154695987701416,1.0
5,embedding_kcenter,0.9944751262664795,0.7679557800292969,0.22651934623718262,0.9944444298744202
5,egogate_diverse,0.9944751262664795,0.8453038930892944,0.14917123317718506,0.9944444298744202
5,full,0.9944751262664795,0.9116021990776062,0.08287292718887329,0.9888888597488403
6,none,0.9944751262664795,0.0,0.9944751262664795,1.0
6,random,0.9944751262664795,0.7900552749633789,0.20441985130310059,1.0
6,stratified_random,0.9944751262664795,0.8453038930892944,0.14917123317718506,1.0
6,doubt,0.9944751262664795,0.9281768202781677,0.06629830598831177,0.9888888597488403
6,curiosity,0.9944751262664795,0.8674033284187317,0.1270717978477478,0.9944444298744202
6,egogate,0.9944751262664795,0.8618784546852112,0.1325966715812683,0.9944444298744202
6,embedding_kcenter,0.9944751262664795,0.8674033284187317,0.1270717978477478,0.9944444298744202
6,egogate_diverse,0.9944751262664795,0.8232043981552124,0.1712707281112671,0.9944444298744202
6,full,0.9944751262664795,0.9337016344070435,0.060773491859436035,0.9888888597488403
7,none,0.9944751262664795,0.0,0.9944751262664795,0.9944444298744202
7,random,0.9944751262664795,0.8287292718887329,0.16574585437774658,1.0
7,stratified_random,0.9944751262664795,0.8618784546852112,0.1325966715812683,0.9888888597488403
7,doubt,0.9944751262664795,0.9171270728111267,0.07734805345535278,0.9833333492279053
7,curiosity,0.9944751262664795,0.8950276374816895,0.09944748878479004,0.9944444298744202
7,egogate,0.9944751262664795,0.8839778900146484,0.11049723625183105,0.9944444298744202
7,embedding_kcenter,0.9944751262664795,0.8397790193557739,0.15469610691070557,0.9944444298744202
7,egogate_diverse,0.9944751262664795,0.8618784546852112,0.1325966715812683,0.9888888597488403
7,full,0.9944751262664795,0.950276255607605,0.04419887065887451,0.9888888597488403
8,none,0.9944751262664795,0.0,0.9944751262664795,1.0
8,random,0.9944751262664795,0.8066298365592957,0.18784528970718384,0.9944444298744202
8,stratified_random,0.9944751262664795,0.8397790193557739,0.15469610691070557,0.9888888597488403
8,doubt,0.9944751262664795,0.939226508140564,0.05524861812591553,0.9944444298744202
8,curiosity,0.9944751262664795,0.8729282021522522,0.1215469241142273,0.9944444298744202
8,egogate,0.9944751262664795,0.9447513818740845,0.04972374439239502,0.9888888597488403
8,embedding_kcenter,0.9944751262664795,0.8176795840263367,0.17679554224014282,0.9888888597488403
8,egogate_diverse,0.9944751262664795,0.889502763748169,0.10497236251831055,0.9833333492279053
8,full,0.9944751262664795,0.939226508140564,0.05524861812591553,0.9888888597488403
9,none,0.9944751262664795,0.0,0.9944751262664795,1.0
9,random,0.9944751262664795,0.8397790193557739,0.15469610691070557,0.9944444298744202
9,stratified_random,0.9944751262664795,0.8121547102928162,0.18232041597366333,0.9944444298744202
9,doubt,0.9944751262664795,0.8950276374816895,0.09944748878479004,0.9888888597488403
9,curiosity,0.9944751262664795,0.8784530162811279,0.11602210998535156,0.9944444298744202
9,egogate,0.9944751262664795,0.889502763748169,0.10497236251831055,0.9888888597488403
9,embedding_kcenter,0.9944751262664795,0.8950276374816895,0.09944748878479004,0.9888888597488403
9,egogate_diverse,0.9944751262664795,0.8729282021522522,0.1215469241142273,0.9944444298744202
9,full,0.9944751262664795,0.9226519465446472,0.07182317972183228,0.9944444298744202
10,none,0.9944751262664795,0.0,0.9944751262664795,1.0
10,random,0.9944751262664795,0.8011049628257751,0.19337016344070435,0.9888888597488403
10,stratified_random,0.9944751262664795,0.8397790193557739,0.15469610691070557,0.9888888597488403
10,doubt,0.9944751262664795,0.9171270728111267,0.07734805345535278,0.9944444298744202
10,curiosity,0.9944751262664795,0.9447513818740845,0.04972374439239502,1.0
10,egogate,0.9944751262664795,0.950276255607605,0.04419887065887451,0.9888888597488403
10,embedding_kcenter,0.9944751262664795,0.8674033284187317,0.1270717978477478,0.9944444298744202
10,egogate_diverse,0.9944751262664795,0.8397790193557739,0.15469610691070557,0.9888888597488403
10,full,0.9944751262664795,0.9337016344070435,0.060773491859436035,0.9888888597488403
11,none,0.9944751262664795,0.0,0.9944751262664795,0.9888888597488403
11,random,0.9944751262664795,0.7790055274963379,0.2154695987701416,0.9944444298744202
11,stratified_random,0.9944751262664795,0.7900552749633789,0.20441985130310059,1.0
11,doubt,0.9944751262664795,0.8839778900146484,0.11049723625183105,0.9888888597488403
11,curiosity,0.9944751262664795,0.8232043981552124,0.1712707281112671,0.9944444298744202
11,egogate,0.9944751262664795,0.8784530162811279,0.11602210998535156,0.9888888597488403
11,embedding_kcenter,0.9944751262664795,0.8563535809516907,0.13812154531478882,0.9944444298744202
11,egogate_diverse,0.9944751262664795,0.8453038930892944,0.14917123317718506,1.0
11,full,0.9944751262664795,0.9668508172035217,0.027624309062957764,0.9944444298744202
12,none,0.9944751262664795,0.0,0.9944751262664795,1.0
12,random,0.9944751262664795,0.7900552749633789,0.20441985130310059,0.9888888597488403
12,stratified_random,0.9944751262664795,0.8287292718887329,0.16574585437774658,0.9888888597488403
12,doubt,0.9944751262664795,0.9447513818740845,0.04972374439239502,0.9833333492279053
12,curiosity,0.9944751262664795,0.8950276374816895,0.09944748878479004,0.9944444298744202
12,egogate,0.9944751262664795,0.9171270728111267,0.07734805345535278,0.9944444298744202
12,embedding_kcenter,0.9944751262664795,0.8729282021522522,0.1215469241142273,1.0
12,egogate_diverse,0.9944751262664795,0.8342541456222534,0.16022098064422607,0.9944444298744202
12,full,0.9944751262664795,0.9281768202781677,0.06629830598831177,0.9944444298744202
13,none,0.9944751262664795,0.0,0.9944751262664795,0.9944444298744202
13,random,0.9944751262664795,0.7624309659004211,0.23204416036605835,0.9888888597488403
13,stratified_random,0.9944751262664795,0.8618784546852112,0.1325966715812683,1.0
13,doubt,0.9944751262664795,0.8784530162811279,0.11602210998535156,0.9888888597488403
13,curiosity,0.9944751262664795,0.8784530162811279,0.11602210998535156,0.9944444298744202
13,egogate,0.9944751262664795,0.8784530162811279,0.11602210998535156,0.9888888597488403
13,embedding_kcenter,0.9944751262664795,0.8066298365592957,0.18784528970718384,0.9888888597488403
13,egogate_diverse,0.9944751262664795,0.8563535809516907,0.13812154531478882,0.9888888597488403
13,full,0.9944751262664795,0.9668508172035217,0.027624309062957764,0.9833333492279053
14,none,0.9944751262664795,0.0,0.9944751262664795,1.0
14,random,0.9944751262664795,0.8176795840263367,0.17679554224014282,0.9944444298744202
14,stratified_random,0.9944751262664795,0.8121547102928162,0.18232041597366333,0.9944444298744202
14,doubt,0.9944751262664795,0.9226519465446472,0.07182317972183228,1.0
14,curiosity,0.9944751262664795,0.8784530162811279,0.11602210998535156,0.9944444298744202
14,egogate,0.9944751262664795,0.889502763748169,0.10497236251831055,0.9944444298744202
14,embedding_kcenter,0.9944751262664795,0.7348066568374634,0.2596684694290161,0.9944444298744202
14,egogate_diverse,0.9944751262664795,0.8176795840263367,0.17679554224014282,0.9888888597488403
14,full,0.9944751262664795,0.939226508140564,0.05524861812591553,0.9888888597488403
15,none,0.9944751262664795,0.0,0.9944751262664795,0.9944444298744202
15,random,0.9944751262664795,0.8342541456222534,0.16022098064422607,0.9833333492279053
15,stratified_random,0.9944751262664795,0.8729282021522522,0.1215469241142273,0.9777777791023254
15,doubt,0.9944751262664795,0.939226508140564,0.05524861812591553,0.9277777671813965
15,curiosity,0.9944751262664795,0.9337016344070435,0.060773491859436035,0.9833333492279053
15,egogate,0.9944751262664795,0.9281768202781677,0.06629830598831177,0.9833333492279053
15,embedding_kcenter,0.9944751262664795,0.8674033284187317,0.1270717978477478,0.9833333492279053
15,egogate_diverse,0.9944751262664795,0.8950276374816895,0.09944748878479004,0.9666666388511658
15,full,0.9944751262664795,0.9281768202781677,0.06629830598831177,0.9777777791023254
16,none,0.9944751262664795,0.0,0.9944751262664795,1.0
16,random,0.9944751262664795,0.8287292718887329,0.16574585437774658,0.9888888597488403
16,stratified_random,0.9944751262664795,0.8011049628257751,0.19337016344070435,0.9944444298744202
16,doubt,0.9944751262664795,0.8839778900146484,0.11049723625183105,0.9944444298744202
16,curiosity,0.9944751262664795,0.9281768202781677,0.06629830598831177,0.9944444298744202
16,egogate,0.9944751262664795,0.8839778900146484,0.11049723625183105,0.9944444298744202
16,embedding_kcenter,0.9944751262664795,0.7790055274963379,0.2154695987701416,0.9888888597488403
16,egogate_diverse,0.9944751262664795,0.8950276374816895,0.09944748878479004,0.9833333492279053
16,full,0.9944751262664795,0.9447513818740845,0.04972374439239502,0.9055555462837219
17,none,0.9944751262664795,0.0,0.9944751262664795,1.0
17,random,0.9944751262664795,0.7955800890922546,0.19889503717422485,0.9944444298744202
17,stratified_random,0.9944751262664795,0.8453038930892944,0.14917123317718506,0.9833333492279053
17,doubt,0.9944751262664795,0.9226519465446472,0.07182317972183228,0.9722222089767456
17,curiosity,0.9944751262664795,0.8839778900146484,0.11049723625183105,0.9944444298744202
17,egogate,0.9944751262664795,0.8563535809516907,0.13812154531478882,0.9944444298744202
17,embedding_kcenter,0.9944751262664795,0.8287292718887329,0.16574585437774658,0.9944444298744202
17,egogate_diverse,0.9944751262664795,0.90055251121521,0.09392261505126953,0.9833333492279053
17,full,0.9944751262664795,0.939226508140564,0.05524861812591553,0.9888888597488403
18,none,0.9944751262664795,0.0,0.9944751262664795,1.0
18,random,0.9944751262664795,0.8121547102928162,0.18232041597366333,0.9944444298744202
18,stratified_random,0.9944751262664795,0.7900552749633789,0.20441985130310059,0.9888888597488403
18,doubt,0.9944751262664795,0.8176795840263367,0.17679554224014282,0.9944444298744202
18,curiosity,0.9944751262664795,0.8176795840263367,0.17679554224014282,0.9944444298744202
18,egogate,0.9944751262664795,0.8176795840263367,0.17679554224014282,0.9944444298744202
18,embedding_kcenter,0.9944751262664795,0.8453038930892944,0.14917123317718506,0.9944444298744202
18,egogate_diverse,0.9944751262664795,0.8508287072181702,0.14364641904830933,0.9944444298744202
18,full,0.9944751262664795,0.9060773253440857,0.0883978009223938,0.9944444298744202
19,none,0.9944751262664795,0.0,0.9944751262664795,0.9944444298744202
19,random,0.9944751262664795,0.8176795840263367,0.17679554224014282,0.9944444298744202
19,stratified_random,0.9944751262664795,0.8397790193557739,0.15469610691070557,0.9833333492279053
19,doubt,0.9944751262664795,0.8784530162811279,0.11602210998535156,0.9944444298744202
19,curiosity,0.9944751262664795,0.889502763748169,0.10497236251831055,0.9944444298744202
19,egogate,0.9944751262664795,0.8674033284187317,0.1270717978477478,0.9944444298744202
19,embedding_kcenter,0.9944751262664795,0.8066298365592957,0.18784528970718384,0.9944444298744202
19,egogate_diverse,0.9944751262664795,0.8563535809516907,0.13812154531478882,0.9944444298744202
19,full,0.9944751262664795,0.9060773253440857,0.0883978009223938,0.9944444298744202
