condition,n,task_a_pre_mean,task_a_pre_std,task_a_post_mean,task_a_post_std,forgetting_mean,forgetting_std,task_b_post_mean,task_b_post_std
none,20,0.9944751262664795,0.0,0.0,0.0,0.9944751262664795,0.0,0.9980555504560471,0.0032619138247559037
random,20,0.9944751262664795,0.0,0.8016574651002883,0.032060236822349625,0.1928176611661911,0.03206023682234962,0.99083331823349,0.008116071755558481
stratified_random,20,0.9944751262664795,0.0,0.8267955899238586,0.03282163588630903,0.16767953634262084,0.03282163588630902,0.9897222101688385,0.011151243253728148
doubt,20,0.9944751262664795,0.0,0.8919889479875565,0.04155648365931712,0.10248617827892303,0.04155648365931712,0.9849999845027924,0.017943308359794276
curiosity,20,0.9944751262664795,0.0,0.8762430965900421,0.04329550874619536,0.11823202967643738,0.04329550874619536,0.9924999862909317,0.0068101058385702015
egogate,20,0.9944751262664795,0.0,0.8776243060827256,0.045108231595585774,0.11685082018375396,0.045108231595585774,0.990277761220932,0.010176320507138032
embedding_kcenter,20,0.9944751262664795,0.0,0.8408839881420136,0.0474115945785591,0.15359113812446595,0.047411594578559105,0.9894444286823273,0.012474788942134215
egogate_diverse,20,0.9944751262664795,0.0,0.8638121575117111,0.026784261950812464,0.13066296875476838,0.026784261950812464,0.9861110985279083,0.020272669195662382
full,20,0.9944751262664795,0.0,0.9350828677415848,0.016993354341623374,0.059392258524894714,0.016993354341623374,0.9772222101688385,0.033812343859269664
